id,name,Fibres,Starch,Protein,Lightbulks,Spices,Alliums,Fruittops,Seeds,Nuts,Bread,Cheesetops,Herbs,OtherTops,Oils,Fats,LiquidAromas,Glutenfree,Vegan,Vegetarian,LactoseFree,Diabetic,NutFree,FODMAPS,Umami,Sweet,Bitter,Sour,Salty,Spicy,Crunchy,AromaBomb,FRUITY,GREEN,FLORAL,SULFUROUS,HERBAL,AROMATIC_SPICY,WOODY,NUTTY,ROASTED,SMOKEY,CITRUS,MEATY,MARINE,CREAMY,CHEESY,Spring,Summer,Fall,Winter,Mediterranean,SouthAsian,EastAsian,LatinAmerican,European,MiddleEastern,Exotic,SlowAndDeep,FastAndFresh,Sofrito,Taco,Aromatics,Boil,Raw,Dressing,Toasting,Sour_map,Umami_map,Sweet_map,Bitter_map,Crunch_map,OilAndFat_map,Pungency_map,Spices_map,Herbs_map,Cheese_map,Alliums_map,Beverages_map,Fruits_map,FillingVeggies_map,Vegetables_map,MeatAndFish_map,Baking_map,Sour_wheel,Umami_wheel,Oil_wheel,Crunch_wheel,Sweet_wheel,Aroma_wheel,Fresh_wheel,Soft_wheel,Bitter_wheel,Spicy_wheel,common_en,common_da,common_de,common_es,has_icon
60,cashew butter,,,,,,,,,,,,,,x,,,x,x,x,x,x,,x,,,,,,,x,,,x,,,,,x,x,x,,,,,x,,,,,,,,x,x,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,x
60,celeriac,x,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x
61,cauliflower,x,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,x,,,,,,,,x,,x,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,x,,,,,,,x
61,celery stalk,x,,,,,,,,,,,,,,,,x,x,x,x,x,x,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x
62,cayenne,,,,,x,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,x,,x,,x,,,,x,,,x,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,x
64,celery leaf,,,,,,,,,,,,x,,,,,x,x,x,x,x,x,x,x,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,x,,x,x,,,,,,,,x
64,chanterelle mushrooms,,,,x,,,,,,,,,,,,,x,x,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x
65,celery seed,,,,,x,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,x,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,x,x,x,x,x
65,cheddar cheese,,,x,,,,,,,,,,x,,,,x,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,x,x,x,x
66,champagne vinegar,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,,,,x,,,,,,x,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,x,x,x,x
66,burrata,,,x,,,,,,,,,,x,,,,x,,x,,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,x,x,x,x
67,chanterelle,,,,x,,,,,,,,,,,,,x,x,x,x,x,x,,x,,,,,,,,x,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,x,x,x,x,x
67,cherries,,,,,,,x,,,,,,,,,,x,x,x,x,x,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,x,x,x,x
68,cheddar,,,,,,,,,,,x,,,,,,x,,x,,x,x,x,x,,,x,x,,,x,,,,,x,x,x,x,,x,,,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,x,,,,,,x,,,x,x,x,x,x
69,cheese,,,,,,,,,,,x,,,,,,x,,x,,x,x,,,,,x,x,,,x,,,,,,,,,,x,,,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,x,,,,,,x,,,,,,,x
70,cherry,,,,,,,x,,,,,,,,,,x,x,x,x,x,x,x,,x,,,,,,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,x,x,x,x,x
71,chestnuts,,,,,,,,,x,,,,,,,,x,x,x,x,x,,x,,,,,,,x,,,x,,,,,x,x,x,,,,,,,,,,,x,,,,x,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,x,x,x,x,x
71,chili pepper,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x
72,chia seeds,,,,,,,,x,,,,,,,,,x,x,x,x,x,x,x,,,,,,,x,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,x
75,chickpeas,,,x,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,x,,,,,x,x,x,,,,,,,,,,,x,,,,x,x,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,x,x,x,x,x
76,chili,,,,,x,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,x,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,x,x,x,x,x,x
77,chili oil,,,,,,,,,,,,,,x,,,x,x,x,x,x,x,x,,,,,,x,,,,x,,,,x,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,x,,,,,x
78,chinese cabbage,x,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,,x,,,,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,x,,,,,,x
79,chives,,,,,,x,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,x,,x,,x,,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,,,,,,,,x
79,ground coriander,,,,,x,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x
80,chocolate,,,,,,,,,,,,,x,,,,x,x,x,x,,x,x,,x,x,,,,,x,,,,,,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,x,x,x,x,x
80,ground cinnamon,,,,,x,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,x,x,x,x
